gene_symbol	Blood and lymphatic system disorders	Cardiac disorders	Ear and labyrinth disorders	Endocrine disorders	Eye disorders	Gastrointestinal disorders	Hepatobiliary disorders	Immune system disorders	Metabolism and nutrition disorders	Musculoskeletal and connective tissue disorders	Nervous system disorders	Pregnancy, puerperium and perinatal conditions	Renal and urinary disorders	Reproductive system and breast disorders	Respiratory, thoracic and mediastinal disorders	Skin and subcutaneous tissue disorders	Vascular disorders
ABCC12	0.0	0.2	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.2	0.1	0.0	0.3	0.2	0.2
ABCC13	0.3	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.2	0.0	0.0	0.0	0.2	0.2
ABCC2	1_confirmed	1_confirmed	1_confirmed	0.9	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	0.7	1_confirmed	1_confirmed	1_confirmed
ABCC3	1_confirmed	0.8	1_confirmed	0.0	0.8	0.9	0.6	1_confirmed	1_confirmed	1_confirmed	1_confirmed	0.0	1_confirmed	0.3	0.7	1_confirmed	1_confirmed
ABCC4	1_confirmed	1_confirmed	0.6	0.1	0.5	1_confirmed	0.6	1_confirmed	1_confirmed	0.8	1_confirmed	0.0	0.2	0.0	1_confirmed	1_confirmed	1_confirmed
ABCC5	0.9	0.8	0.7	0.1	0.4	0.9	0.3	0.8	0.7	0.7	0.6	0.1	0.3	0.4	0.3	0.8	0.9
ABCC6	0.7	0.2	0.0	0.3	0.0	0.6	0.1	0.2	0.2	0.3	0.2	0.2	0.1	0.3	0.2	0.3	0.1
ABCC8	1_confirmed	0.7	0.1	1_confirmed	0.1	1.0	1_confirmed	0.4	1_confirmed	0.3	0.5	0_confirmed	0.1	0.2	0.8	1_confirmed	1.0
ABCC9	0.4	0.3	0.3	1_confirmed	0.1	0.8	0.8	0.5	1_confirmed	0.3	0.3	0.0	0.1	0.2	0.6	0.8	0.9
ABCD1	0_confirmed	0.2	0.0	0_confirmed	0.0	0.0	0.2	0.1	0_confirmed	0_confirmed	0_confirmed	0.2	0.2	0.0	0.1	0_confirmed	0_confirmed
ABCD2	0_confirmed	0.0	0_confirmed	0.1	0.0	0.2	0.0	0.1	0_confirmed	0.1	0_confirmed	0.1	0.0	0.0	0.0	0_confirmed	0.2
ABCD3	0.0	0_confirmed	0.1	0.0	0_confirmed	0.0	0.2	0.0	0_confirmed	0.1	0_confirmed	0.2	0.1	0.3	0_confirmed	0_confirmed	0_confirmed
ABCD4	0.2	0.0	0.0	0_confirmed	0.1	0.2	0_confirmed	0.1	0.2	0.1	0_confirmed	0.1	0_confirmed	0.0	0.0	0_confirmed	0.0
ABCE1	0.0	0.0	0.2	0.0	0.0	0.3	0.0	0.2	0.0	0.1	0.0	0.0	0.2	0.1	0.2	0.0	0.2
ABCF1	0.2	0.2	0.1	0.3	0.2	0.0	0.2	0.1	0.1	0.3	0.0	0.2	0.1	0.0	0.1	0.0	0.0
ABCF2	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.1	0.2	0.2	0.3	0.0	0.0	0.0	0.3	0.0	0.0
ABCF2-H2BE1	0.0	0.2	0.0	0.0	0.1	0.0	0.1	0.0	0.3	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.1
ABCF3	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.0
ABCG1	0.1	0.2	0.3	0.0	0.0	0.1	0.1	0.4	0.1	0.3	0.1	0_confirmed	0.1	0.2	0.1	0.3	0.0
ABCG2	1_confirmed	1_confirmed	1_confirmed	0.9	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	0.0	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed
ABCG4	0.0	0.0	0.1	0.0	0.2	0.1	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.3	0.0	0.1	0.0
ABCG5	0.0	0.1	0.2	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.1	0.1
ABCG8	0.0	0_confirmed	0.3	0.0	0.0	0.1	0_confirmed	0.1	0.1	0.1	0_confirmed	0.2	0_confirmed	0.0	0_confirmed	0_confirmed	0.0
ABHD1	0.0	0.0	0.0	0.2	0.0	0.0	0.2	0.0	0.2	0.1	0.0	0.0	0.2	0.0	0.1	0.0	0.0
ABHD10	0.0	0.0	0.3	0.0	0.0	0.1	0.2	0.0	0.0	0.2	0.0	0.2	0.0	0.2	0.2	0.0	0.0
ABHD11	0.1	0.0	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.2	0.2	0.0	0.0	0.1	0.2	0.2
ABHD12	0.0	0.3	0.1	0.0	0.0	0_confirmed	0_confirmed	0.0	0.0	0_confirmed	0_confirmed	0.1	0.1	0.2	0_confirmed	0_confirmed	0.0
ABHD12B	0.0	0.1	0.2	0.0	0.3	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0
ABHD13	0.0	0.2	0.1	0.2	0.1	0.0	0.2	0.3	0.2	0.2	0.0	0.0	0.2	0.2	0.0	0.0	0.0
ABHD14A	0.0	0.1	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.2	0.1	0.1	0.0	0.1	0.2	0.1	0.1
ABHD14A-ACY1	0_confirmed	0_confirmed	0.0	0.0	0.1	0.2	0.0	0.1	0_confirmed	0.0	0_confirmed	0.1	0.0	0_confirmed	0.1	0_confirmed	0_confirmed
ABHD14B	0.2	0.1	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.1	0.2	0.3	0.2	0.2	0.3	0.2	0.1
ABHD15	0.1	0.2	0.1	0.2	0.0	0.1	0.0	0.1	0.1	0.0	0.1	0.1	0.2	0.2	0.2	0.1	0.0
ABHD16A	0.1	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.2	0.2	0.1	0.0	0.0	0.1	0.1	0.0
ABHD16B	0.1	0.0	0.0	0.2	0.0	0.1	0.2	0.0	0.2	0.0	0.3	0.2	0.0	0.1	0.2	0.0	0.0
ABHD17A	0.1	0.0	0.3	0.2	0.0	0.2	0.3	0.0	0.0	0.2	0.0	0.2	0.3	0.1	0.0	0.0	0.1
ABHD17B	0.1	0.2	0.3	0.0	0.2	0.3	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.3	0.0
ABHD17C	0.3	0.3	0.0	0.1	0.1	0.0	0.1	0.1	0.2	0.0	0.2	0.0	0.0	0.1	0.1	0.1	0.0
ABHD18	0.0	0.2	0.0	0.0	0.0	0.2	0.1	0.2	0.2	0.2	0.0	0.0	0.1	0.1	0.1	0.0	0.2
ABHD2	0.0	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.0
ABHD3	0.1	0.1	0.0	0.1	0.2	0.1	0.2	0.0	0.1	0.0	0.3	0.3	0.1	0.1	0.2	0.1	0.1
ABHD4	0.0	0.1	0.0	0.0	0.3	0.0	0.0	0.1	0.3	0.0	0.2	0.1	0.3	0.0	0.1	0.1	0.0
ABHD5	0.1	0.0	0.1	0.3	0.0	0.0	0.2	0.0	0.0	0.2	0.0	0.3	0.1	0.1	0.0	0.0	0.0
ABHD6	0.0	0.0	0.0	0.2	0.1	0.0	0.1	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.2	0.0
ABHD8	0.1	0.3	0.1	0.1	0.0	0.0	0.2	0.0	0.0	0.3	0.1	0.0	0.0	0.0	0.1	0.1	0.0
ABI1	0.0	0.1	0.2	0.1	0.1	0.0	0.1	0.1	0.1	0.2	0.2	0.0	0.1	0.1	0.0	0.2	0.1
ABI2	0.2	0.1	0.1	0.2	0.0	0.0	0.3	0.1	0.2	0.2	0.1	0.1	0.0	0.0	0.1	0.3	0.0
ABI3	0.3	0.1	0.2	0.2	0.1	0.2	0.0	0.0	0.0	0.3	0.2	0.0	0.0	0.1	0.1	0.0	0.1
ABI3BP	0.0	0.1	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.2
ABITRAM	0.3	0.3	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.2	0.0	0.1	0.2	0.0	0.1	0.0	0.0
ABL1	1_confirmed	1_confirmed	0.1	0.1	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	0.0	0.8	0.3	1.0	1_confirmed	1_confirmed
ABL2	1_confirmed	1_confirmed	0.1	0.1	1_confirmed	0.1	0.3	1_confirmed	1_confirmed	0.0	0.1	0.1	1_confirmed	0.1	1_confirmed	1_confirmed	1_confirmed
ABLIM1	0.0	0.1	0.0	0.3	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.2	0.1	0.1	0.0	0.2	0.0
ABLIM2	0.0	0.2	0.1	0.0	0.1	0.2	0.1	0.0	0.1	0.0	0.2	0.1	0.1	0.0	0.0	0.1	0.2
ABLIM3	0.0	0.0	0.1	0.0	0.1	0.0	0.3	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.2
ABO	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.2	0.0	0.0	0.0	0.2	0.0	0.1	0.1	0.2	0.2
ABR	0.0	0.1	0.2	0.1	0.0	0.0	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.2	0.2	0.2	0.0
ABRA	0.0	0.2	0.2	0.0	0.0	0.0	0.3	0.1	0.1	0.0	0.1	0.2	0.0	0.2	0.1	0.1	0.2
ABRACL	0.3	0.0	0.2	0.3	0.1	0.0	0.2	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.1	0.2	0.0
ABRAXAS1	0.0	0.2	0.2	0.1	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.2	0.1	0.0	0.1	0.0	0.0
ABRAXAS2	0.1	0.0	0.3	0.1	0.2	0.0	0.3	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.2	0.1	0.1
ABT1	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.1	0.1	0.1	0.0
ABTB1	0.1	0.3	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.2
ABTB2	0.2	0.2	0.0	0.2	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0
AC004556.3	0.1	0.0	0.1	0.3	0.2	0.0	0.0	0.2	0.0	0.2	0.0	0.1	0.1	0.1	0.2	0.1	0.0
AC007325.2	0.0	0.1	0.0	0.0	0.1	0.1	0.1	0.0	0.2	0.0	0.1	0.2	0.2	0.2	0.0	0.0	0.1
AC007325.4	0.0	0.1	0.0	0.0	0.2	0.0	0.1	0.2	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.1	0.3
AC011043.1	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.3	0.0	0.1	0.0	0.0	0.0	0.2	0.0
AC016876.1	0.0	0.0	0.1	0.1	0.2	0.0	0.2	0.2	0.2	0.2	0.0	0.1	0.1	0.0	0.0	0.0	0.0
AC055839.2	0.1	0.0	0.0	0.2	0.0	0.1	0.3	0.2	0.2	0.2	0.2	0.0	0.0	0.1	0.3	0.0	0.2
AC093512.2	0.1	0.0	0.0	0.0	0.1	0.2	0.2	0.2	0.1	0.0	0.0	0.0	0.2	0.0	0.0	0.2	0.0
AC099489.1	0.1	0.2	0.0	0.0	0.0	0.0	0.0	0.3	0.1	0.1	0.0	0.1	0.0	0.3	0.0	0.0	0.0
AC113348.1	0.0	0.1	0.0	0.0	0.2	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.2
AC136352.3	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.1	0.0
AC136612.1	0.2	0.2	0.0	0.0	0.3	0.1	0.2	0.1	0.1	0.1	0.2	0.2	0.0	0.0	0.1	0.0	0.0
AC171558.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.2	0.1
AC226119.3	0.0	0.0	0.2	0.1	0.2	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.3	0.3	0.1	0.1	0.2
AC240274.1	0.0	0.1	0.0	0.1	0.0	0.2	0.2	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.0	0.2	0.0
ACAA1	0.0	0.3	0.3	0.2	0_confirmed	0_confirmed	0.2	0.0	0.0	0_confirmed	0.2	0.2	0.0	0.1	0.0	0_confirmed	0.0
ACAA2	0.0	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.1	0.2	0.0	0.0	0.1	0.2	0.2	0.0
ACACA	0.0	0.2	0.2	0.0	0.0	0.2	0.1	0.1	0.0	0.0	0.2	0.1	0.0	0.1	0.0	0.3	0.1
ACACB	0_confirmed	0_confirmed	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0_confirmed	0.0	0.0	0.2	0_confirmed	0_confirmed	0_confirmed
ACAD10	0.0	0.0	0.2	0.1	0.0	0.2	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.3	0.1	0.2
ACAD11	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.1	0.0	0.3	0.0	0.2	0.0
ACAD8	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.2	0.1	0.0	0.0	0.3	0.0	0.2	0.0	0.2
ACAD9	0.2	0.0	0.1	0.1	0.0	0.0	0.2	0.1	0.0	0.1	0.2	0.3	0.1	0.0	0.1	0.0	0.1
ACADL	0.1	0.1	0.1	0.2	0.0	0.2	0.1	0.0	0.0	0.0	0.2	0.1	0.1	0.3	0.0	0.2	0.0
ACADM	0.0	0.1	0.0	0.0	0.2	0.2	0.2	0.2	0.2	0.1	0.0	0.0	0.1	0.1	0.1	0.1	0.1
ACADS	0.0	0.2	0.1	0.1	0.0	0.0	0.2	0.0	0.1	0.2	0.1	0.1	0.3	0.1	0.0	0.1	0.2
ACADSB	0.2	0_confirmed	0.1	0.0	0.0	0.0	0.3	0_confirmed	0_confirmed	0.0	0.1	0.0	0.2	0.0	0.3	0_confirmed	0.1
ACADVL	0.0	0.0	0.2	0.1	0.1	0.0	0.2	0.1	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.0
ACAN	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.1	0.2	0.0	0.2	0.0	0.1	0.1	0.2	0.0	0.3
ACAP1	0.1	0.1	0.2	0.1	0.0	0.1	0.1	0.1	0.3	0.2	0.0	0.1	0.0	0.1	0.0	0.0	0.0
ACAP2	0.0	0.2	0.2	0.1	0.0	0.1	0.0	0.1	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.0	0.0
ACAP3	0.0	0.3	0.1	0.2	0.3	0.0	0.1	0.1	0.0	0.3	0.0	0.0	0.1	0.1	0.2	0.3	0.0
ACAT1	0_confirmed	0.3	0.2	0.1	0.1	0.1	0.4	0.1	0.1	0.3	0_confirmed	0.1	0.0	0.0	0.0	0_confirmed	0_confirmed
ACAT2	0.0	0.1	0.1	0.3	0.2	0.1	0.2	0.0	0.0	0.1	0.2	0.0	0.2	0.2	0.0	0.1	0.0
ACBD3	0.0	0.1	0.2	0.2	0.2	0.2	0.1	0.0	0.0	0.1	0.1	0.2	0.0	0.1	0.1	0.1	0.0
ACBD4	0.0	0.1	0.0	0.1	0.0	0.2	0.2	0.1	0.2	0.0	0.1	0.0	0.2	0.0	0.2	0.1	0.2
ACBD5	0.0	0.0	0.1	0.1	0.2	0.2	0.0	0.0	0.2	0.0	0.2	0.1	0.1	0.2	0.2	0.0	0.1
ACBD6	0.3	0.0	0.0	0.2	0.1	0.3	0.2	0.0	0.2	0.1	0.0	0.1	0.0	0.2	0.1	0.1	0.1
ACBD7	0.0	0.2	0.0	0.0	0.1	0.0	0.2	0.1	0.2	0.2	0.0	0.2	0.1	0.3	0.0	0.0	0.0
ACCS	0.0	0.1	0.2	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.2	0.0
ACCSL	0.2	0.1	0.3	0.1	0.2	0.2	0.0	0.2	0.0	0.1	0.3	0.0	0.2	0.0	0.2	0.3	0.1
ACD	0.0	0.1	0.0	0.0	0.2	0.1	0.0	0.0	0.2	0.3	0.0	0.2	0.0	0.0	0.0	0.0	0.0
ACE	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed	0.3	1_confirmed	1_confirmed	1_confirmed	1_confirmed	1_confirmed
ACE2	0_confirmed	0_confirmed	0.3	0.0	0.1	0.1	0.0	0_confirmed	0.1	0.1	0_confirmed	0_confirmed	0.0	0.0	0_confirmed	0_confirmed	0_confirmed
ACER1	0.0	0.1	0.0	0.1	0.1	0.2	0.2	0.1	0.1	0.3	0.1	0.1	0.1	0.1	0.0	0.2	0.1
ACER2	0.1	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.2	0.2	0.0	0.0	0.0	0.0
ACER3	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.1	0.0	0.1	0.1	0.2	0.0	0.0
ACHE	0.3	0.9	0.4	0.8	1.0	1.0	0.8	1.0	0.9	0.6	1_confirmed	0.0	0.5	0.4	1_confirmed	0.7	1.0
ACIN1	0.0	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.2	0.1	0.1	0.1	0.1	0.1
ACKR1	0_confirmed	0_confirmed	0.2	0.0	0.2	0.1	0.0	0.1	0_confirmed	0.0	0_confirmed	0.0	0.0	0.1	0_confirmed	0.2	0_confirmed
ACKR2	0.1	0.2	0.0	0.0	0.2	0.0	0.2	0.0	0.0	0.2	0.0	0.1	0.2	0.0	0.0	0.1	0.0
ACKR3	0.5	0.2	0.1	0.3	0.0	0.6	0.2	0.4	0.2	0.3	0.3	0.2	0.0	0.0	0.2	0.3	0.6
ACKR4	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.3	0.1	0.1	0.0	0.0	0.1	0.2	0.0
ACLY	0.0	0.0	0.3	0.1	0.1	0.1	0.1	0.2	0.0	0.0	0.1	0.0	0_confirmed	0.0	0_confirmed	0.1	0.1
ACMSD	0_confirmed	0.0	0.1	0.0	0.0	0_confirmed	0_confirmed	0.2	0_confirmed	0.2	0.0	0.1	0.2	0.1	0.0	0_confirmed	0.2
